Year,Month,Day,ELK(Elk R ab Campbell Lk),ERC(Eric Creek ),GLD(Gold R below Ucona R),HEB(Heber River near Gold River),JHT(John Hart Substation),QIN(Quinsam R at Argonaut Br),QSM(Quinsam R nr Campbell R),SAM(Salmon R ab Campbell Div),SCA(Strathcona Dam),WOL(Wolf River Upper)
1976,1,1,3.24726487,2.993345374,4.338588937,4.145439874,4.488577477,3.739130712,4.497289903,3.742562507,3.967386159,3.33998835
1976,1,2,3.21521487,3.150028343,4.440158923,4.391496724,5.433626394,3.759130972,5.485273714,3.656462507,4.055686159,3.289942245
1976,1,3,3.731878709,3.445070984,5.052808443,4.994475167,6.543652744,4.56237297,6.586930841,4.395296228,4.943913636,3.911889862
1976,1,4,4.622730634,4.354880957,6.135413066,6.23155267,8.260925716,5.961127805,8.281775358,5.874891515,6.461912649,4.783270104
