Year,Month,Day,ELK(Elk R ab Campbell Lk),ERC(Eric Creek ),GLD(Gold R below Ucona R),HEB(Heber River near Gold River),JHT(John Hart Substation),QIN(Quinsam R at Argonaut Br),QSM(Quinsam R nr Campbell R),SAM(Salmon R ab Campbell Div),SCA(Strathcona Dam),WOL(Wolf River Upper)
1950,1,1,6.518983956,7.064714002,6.994587557,6.558974816,0,6.528437763,0,6.359293019,0.664690333,6.792744543
1950,1,2,3.781403657,4.193065763,3.448177946,3.456747803,4.271193431,3.908087443,4.271791599,3.825330997,3.96482294,3.774034135
1950,1,3,9.708980892,9.188829169,9.429448649,9.979960139,16.35181512,11.8614433,16.23192448,11.94737649,12.76759343,9.104083191
1950,1,4,7.823604747,7.581749295,7.727768275,7.255278314,6.648711122,7.250108584,6.621568393,7.468461917,7.12041813,7.708007431
