Variable,,,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin
Station,,,ELK(Elk R ab Campbell Lk),ERC(Eric Creek ),GLD(Gold R below Ucona R),HEB(Heber River near Gold River),JHT(John Hart Substation),QIN(Quinsam R at Argonaut Br),QSM(Quinsam R nr Campbell R),SAM(Salmon R ab Campbell Div),SCA(Strathcona Dam),WOL(Wolf River Upper)
Year,Month,Day,,,,,,,,,,
1950,1,1,-14.85036212,-15.04349827,-9.294584608,-8.648325668,-6.770278858,-10.50341959,-6.715288578,-11.50236838,-9.159399139,-14.04239276
1950,1,2,-18.53036212,-19.23449827,-12.36558461,-12.00132567,-10.85627886,-14.91141959,-10.81828858,-15.64836838,-13.31339914,-17.65339276
1950,1,3,-12.85336212,-13.60949827,-8.453584608,-8.540325668,-8.593278858,-11.07441959,-8.551288578,-11.59536838,-10.05439914,-12.12539276
1950,1,4,-8.667069777,-9.435063453,-5.671984608,-5.861125668,-6.915278858,-8.291419586,-6.853288578,-8.694368382,-7.547399139,-8.055069097
1950,1,5,-6.36286131,-7.422063453,-1.825254511,-1.670408655,-1.215167613,-4.052145029,-1.030824796,-4.451781681,-2.864919039,-5.984069097
