year,month,day,ELK,ERC,GLD,HEB,JHT,QIN,QSM,SAM,SCA,WOL
1950,1,1,4.425996423,4.796669662,4.501025409,4.453136906,0,4.432485417,0,4.317557905,0.577823609,4.611886829
1950,1,2,2.668366939,2.850257069,2.392820776,2.439287767,2.834861457,2.757758252,2.835298181,2.699387824,2.695041664,2.663219862
1950,1,3,6.776625276,6.378210962,6.152053356,6.965659648,11.18329036,8.265112683,11.10067356,8.325074032,8.944858164,6.319187954
1950,1,4,5.297660172,5.133842468,4.97282064,4.912856579,4.459513247,4.909267187,4.441297352,5.057239797,4.821454361,5.219377905
